income,age,loan_amount,employment_years,credit_score,existing_debt,num_credit_lines,num_delinquencies_2yr,loan_term_months,interest_rate,home_ownership,loan_purpose,employment_type,default
61442.1,42,25946.8,1.7,,27462.03,2,1,36,25.9,OWN,debt_consolidation,salaried,0
14719.28,55,35749.0,3.1,744.0,4027.61,15,1,60,20.14,RENT,major_purchase,self_employed,1
26817.67,60,8153.0,8.1,535.0,0.0,12,1,36,23.27,RENT,small_business,salaried,1
96467.64,53,37873.9,7.3,604.0,33538.08,10,1,12,17.18,RENT,other,salaried,1
47688.61,29,1546.84,5.9,669.0,16998.99,13,0,60,28.24,RENT,credit_card,self_employed,0
105291.97,66,15183.34,1.9,770.0,26198.2,12,1,12,13.55,MORTGAGE,home_improvement,salaried,0
12000.0,23,22437.12,2.1,556.0,6221.22,13,1,60,10.6,OWN,car,salaried,1
139579.16,33,8828.54,4.4,642.0,9284.45,14,0,12,16.16,OWN,credit_card,unemployed,0
54812.27,24,23055.42,9.0,562.0,0.0,17,0,12,9.37,RENT,credit_card,self_employed,0
59036.11,36,22733.8,4.1,794.0,7609.41,8,0,60,19.35,MORTGAGE,debt_consolidation,salaried,0
44764.54,30,12336.94,2.0,667.0,3717.76,1,0,24,22.84,MORTGAGE,home_improvement,retired,0
17384.19,67,500.0,1.3,673.0,16458.23,4,0,48,17.92,MORTGAGE,credit_card,unemployed,1
36014.52,27,18555.97,6.4,850.0,18212.54,5,0,60,18.33,MORTGAGE,medical,salaried,0
48927.43,41,33132.92,2.4,711.0,17463.23,14,2,24,27.68,OWN,medical,self_employed,0
132196.33,23,37049.06,5.5,675.0,1508.29,16,1,60,12.16,OWN,debt_consolidation,salaried,0
50353.65,69,20962.22,1.4,744.0,7900.16,17,0,48,16.86,RENT,other,salaried,0
78388.36,37,27871.45,3.7,746.0,1758.27,9,0,36,19.42,OWN,debt_consolidation,retired,0
37115.75,41,30791.84,1.9,566.0,907.19,7,0,48,30.14,RENT,debt_consolidation,salaried,0
60504.9,25,22195.91,9.3,770.0,10251.18,16,2,24,19.76,MORTGAGE,small_business,salaried,0
94307.99,43,35709.53,14.4,713.0,25198.15,6,0,36,6.91,OWN,home_improvement,unemployed,0
39246.37,35,19472.86,2.5,699.0,42777.21,19,0,12,22.53,MORTGAGE,medical,salaried,1
78888.98,51,21026.61,11.9,819.0,11971.77,3,1,36,11.11,RENT,car,self_employed,0
64239.23,25,29039.33,16.4,612.0,33463.65,13,0,12,16.92,RENT,debt_consolidation,salaried,0
59287.05,48,10659.86,3.2,694.0,4457.86,9,0,60,10.99,MORTGAGE,debt_consolidation,retired,0
12000.0,33,29288.79,4.4,678.0,19855.78,0,0,60,25.69,MORTGAGE,debt_consolidation,unemployed,1
77314.79,55,500.0,7.1,787.0,27389.96,7,1,36,14.05,MORTGAGE,credit_card,salaried,0
94739.85,22,33863.08,1.4,668.0,3819.2,17,1,36,24.38,RENT,debt_consolidation,retired,0
30202.93,33,17399.63,2.4,670.0,16549.69,10,0,60,13.35,MORTGAGE,medical,salaried,0
53951.53,43,25892.15,11.8,648.0,14731.73,4,0,60,22.95,RENT,small_business,salaried,0
,61,8312.55,0.7,727.0,15135.57,13,0,48,11.39,RENT,debt_consolidation,salaried,0
91744.52,66,42067.74,6.5,789.0,8356.07,6,0,60,16.44,RENT,other,salaried,0
12000.0,43,30984.18,19.9,748.0,24078.86,6,0,12,22.97,RENT,debt_consolidation,salaried,1
69046.19,55,21963.65,13.1,708.0,0.0,15,1,12,6.23,RENT,debt_consolidation,salaried,0
108117.12,27,40440.02,8.4,532.0,21379.04,5,1,84,18.54,OWN,major_purchase,salaried,1
34959.12,54,11168.14,4.7,850.0,28016.63,5,1,60,12.37,OWN,car,salaried,0
67789.18,65,16814.87,2.2,677.0,18287.16,2,0,48,20.49,RENT,debt_consolidation,salaried,0
115903.79,28,6131.07,0.3,628.0,7691.1,8,1,36,21.51,MORTGAGE,car,salaried,0
35670.74,43,32860.16,4.5,606.0,26849.26,8,0,48,20.06,MORTGAGE,debt_consolidation,salaried,1
42026.7,39,24140.5,8.1,689.0,28484.18,18,0,60,18.11,RENT,debt_consolidation,salaried,1
22909.6,41,14800.55,14.1,694.0,4033.78,15,0,36,19.76,RENT,other,salaried,0
29168.19,36,32791.99,3.4,707.0,25507.14,3,0,12,20.4,MORTGAGE,credit_card,self_employed,1
86690.6,43,58530.46,1.1,686.0,24532.87,19,1,84,18.64,RENT,major_purchase,self_employed,1
83102.32,28,30466.29,7.5,707.0,6922.0,3,0,12,12.06,OWN,debt_consolidation,salaried,0
63731.21,53,6707.92,4.5,635.0,28443.61,9,0,60,9.16,OWN,home_improvement,self_employed,0
83302.06,54,5682.8,7.4,670.0,23548.35,13,0,60,7.61,MORTGAGE,home_improvement,salaried,0
70799.8,30,500.0,9.5,701.0,22800.47,1,1,84,17.66,RENT,car,salaried,0
90300.76,41,24431.73,2.0,736.0,36179.36,0,0,24,7.72,OWN,home_improvement,salaried,0
89239.69,64,27432.62,7.9,636.0,36919.43,6,0,12,14.45,OWN,credit_card,self_employed,0
28737.75,58,41959.71,3.9,627.0,20797.02,6,0,60,9.15,RENT,debt_consolidation,unemployed,1
74494.29,27,500.0,11.2,722.0,11262.5,14,0,12,19.13,MORTGAGE,medical,self_employed,0
56622.3,29,47805.1,6.9,850.0,5610.04,10,2,24,15.84,OWN,major_purchase,self_employed,0
134583.45,30,56208.12,0.9,575.0,17892.41,7,0,36,22.21,RENT,debt_consolidation,salaried,0
48275.34,47,37735.6,4.5,610.0,2739.16,19,2,60,32.02,RENT,home_improvement,retired,1
36416.1,50,2869.18,7.5,728.0,4001.67,1,0,36,16.12,RENT,credit_card,salaried,0
99780.43,42,19628.46,7.8,729.0,20806.06,17,0,12,13.28,RENT,small_business,unemployed,0
48994.44,29,11788.78,4.0,710.0,12620.26,0,1,48,16.64,RENT,home_improvement,retired,0
144568.75,66,13893.77,6.3,639.0,10276.62,5,0,12,9.94,MORTGAGE,major_purchase,salaried,0
121099.06,31,5041.99,1.1,815.0,0.0,7,1,84,14.1,RENT,credit_card,salaried,0
71242.26,35,6253.0,5.1,696.0,23679.37,4,0,36,12.6,MORTGAGE,small_business,unemployed,1
71498.5,25,500.0,2.5,642.0,10790.14,19,0,60,25.07,RENT,car,salaried,0
40229.23,64,29131.04,5.4,643.0,22941.68,14,1,36,22.93,MORTGAGE,small_business,self_employed,0
71898.91,30,19652.91,1.8,665.0,11737.97,8,0,48,16.97,OWN,debt_consolidation,self_employed,0
96794.45,29,36652.81,4.9,693.0,16840.49,13,0,24,18.45,RENT,other,salaried,0
12000.0,47,32038.18,16.9,776.0,25450.47,0,0,60,19.38,MORTGAGE,debt_consolidation,salaried,1
86526.75,25,500.0,4.0,625.0,18370.72,18,0,60,19.28,RENT,credit_card,self_employed,0
63502.01,32,500.0,1.8,698.0,23123.55,8,1,84,25.91,MORTGAGE,home_improvement,salaried,0
157200.51,68,46692.58,4.0,629.0,5381.9,2,0,12,21.84,RENT,major_purchase,salaried,0
24154.21,21,22267.83,2.1,619.0,22085.88,19,1,48,15.08,RENT,debt_consolidation,unemployed,1
72541.17,40,10080.71,2.1,571.0,25218.86,13,0,24,20.61,OTHER,home_improvement,salaried,0
42081.92,37,27798.01,2.2,567.0,14771.35,10,1,12,27.57,RENT,car,salaried,1
76271.38,50,22493.17,3.2,699.0,22064.5,19,1,12,18.7,OTHER,small_business,salaried,0
73299.18,61,20107.47,5.9,728.0,19733.09,2,0,12,17.25,OWN,major_purchase,salaried,0
74533.88,48,16480.86,3.6,643.0,443.76,1,0,60,18.3,OWN,debt_consolidation,retired,0
108807.01,43,38182.07,17.1,632.0,15106.81,12,0,24,22.67,RENT,debt_consolidation,salaried,0
53095.82,56,500.0,6.4,624.0,27186.23,5,0,48,20.69,RENT,debt_consolidation,salaried,0
58494.58,21,19869.88,2.1,595.0,15292.16,10,0,84,29.23,MORTGAGE,medical,self_employed,0
82798.27,40,23260.39,9.7,547.0,14846.79,0,2,60,20.83,OWN,small_business,salaried,1
12000.0,29,35326.27,4.5,714.0,6150.5,3,0,48,7.58,RENT,credit_card,salaried,1
84543.09,28,15405.77,0.8,713.0,10404.61,7,0,48,17.38,RENT,debt_consolidation,unemployed,0
75138.93,48,28838.83,4.2,628.0,36428.61,18,1,84,24.3,RENT,car,self_employed,0
,25,500.0,1.7,606.0,19974.07,4,2,48,24.34,MORTGAGE,major_purchase,salaried,1
50750.3,44,21418.37,6.6,697.0,14862.68,13,1,12,16.51,RENT,credit_card,self_employed,0
108635.68,28,24106.05,11.8,771.0,20950.49,16,0,84,13.28,RENT,credit_card,salaried,0
32243.57,56,19470.95,9.5,817.0,4686.22,12,0,48,7.74,RENT,credit_card,salaried,0
57768.75,62,6624.87,2.4,681.0,975.11,0,0,60,27.13,RENT,debt_consolidation,salaried,0
50948.16,46,30120.95,5.9,729.0,10492.65,8,1,24,12.05,RENT,debt_consolidation,self_employed,0
14429.1,57,1152.97,7.6,706.0,24906.2,1,1,48,18.52,OWN,credit_card,salaried,0
96081.36,35,4066.27,12.1,746.0,1177.24,13,0,60,12.44,RENT,major_purchase,salaried,0
28567.14,60,42672.47,13.7,631.0,14516.8,15,0,12,13.39,MORTGAGE,other,retired,1
61718.88,26,33746.0,10.6,850.0,23051.32,2,0,24,12.67,MORTGAGE,credit_card,salaried,0
65006.66,46,37451.92,0.7,707.0,512.68,17,1,60,11.23,RENT,debt_consolidation,retired,0
60905.59,25,8577.83,8.7,620.0,13638.13,3,1,24,17.23,MORTGAGE,debt_consolidation,unemployed,0
45606.84,41,23136.4,7.1,541.0,0.0,5,0,84,33.24,MORTGAGE,major_purchase,salaried,1
12000.0,52,22560.97,13.4,644.0,8942.71,5,1,48,22.99,RENT,home_improvement,salaried,1
13335.15,29,500.0,0.3,704.0,5866.01,8,1,24,19.19,RENT,medical,salaried,0
65522.36,61,500.0,3.6,622.0,29192.58,8,0,24,28.36,OWN,debt_consolidation,unemployed,0
59136.13,52,26718.1,3.0,668.0,28954.19,6,0,36,21.44,RENT,debt_consolidation,self_employed,0
60467.5,61,48644.19,3.0,668.0,6630.6,7,0,60,19.86,RENT,major_purchase,salaried,0
62778.63,30,6171.94,10.9,775.0,32269.3,3,1,84,5.75,OWN,credit_card,self_employed,1
74089.1,64,34200.47,5.4,744.0,27008.51,17,1,12,15.34,OWN,medical,retired,0
109254.11,68,12484.58,3.6,758.0,20658.55,11,0,60,18.15,OWN,debt_consolidation,salaried,0
70982.83,48,14247.38,3.6,794.0,12690.18,7,0,24,12.06,MORTGAGE,debt_consolidation,salaried,0
34044.53,60,42240.17,2.4,639.0,0.0,7,0,60,18.85,OWN,major_purchase,retired,0
40424.51,44,19834.93,3.0,680.0,14607.17,17,3,48,12.93,OWN,major_purchase,salaried,0
41583.67,52,500.0,12.5,788.0,13230.79,16,0,48,12.03,MORTGAGE,debt_consolidation,salaried,0
148907.53,66,41890.83,9.9,835.0,15110.44,18,1,24,15.15,OWN,credit_card,salaried,0
18173.59,38,33630.33,3.5,717.0,15136.29,17,1,84,16.3,RENT,small_business,retired,1
96453.7,65,25822.8,9.9,688.0,6386.37,2,3,48,17.54,RENT,credit_card,retired,0
37430.41,65,23284.88,8.3,754.0,8138.69,18,1,84,6.0,MORTGAGE,debt_consolidation,salaried,0
45131.99,44,5296.48,6.9,608.0,40964.22,1,2,24,16.16,OWN,credit_card,salaried,0
76595.54,44,35848.45,19.4,715.0,21755.18,0,1,84,23.55,MORTGAGE,credit_card,retired,0
54940.51,30,10469.49,3.7,693.0,7685.61,14,0,12,21.69,RENT,home_improvement,salaried,0
62821.0,32,29169.94,8.2,730.0,4729.38,11,0,24,24.41,RENT,debt_consolidation,salaried,0
39210.33,43,20800.38,1.9,646.0,5525.17,1,0,60,26.74,OWN,small_business,salaried,0
97546.11,34,21799.94,7.5,675.0,33158.71,3,1,36,25.44,OWN,home_improvement,salaried,0
61499.3,31,24753.56,3.4,531.0,10331.36,2,0,24,18.75,OWN,small_business,retired,0
66170.88,25,28327.57,4.3,579.0,22253.53,5,0,12,17.7,RENT,major_purchase,salaried,0
77399.8,29,17618.0,1.4,637.0,10871.47,7,0,24,20.09,OTHER,credit_card,salaried,0
87085.53,61,500.0,4.1,680.0,6103.96,15,0,84,12.82,OWN,home_improvement,salaried,0
73092.06,33,33276.11,3.0,675.0,18540.92,0,0,24,20.86,OWN,debt_consolidation,self_employed,0
116119.5,64,27438.2,2.9,570.0,8530.74,19,0,24,14.71,RENT,medical,salaried,0
128552.86,49,20999.8,3.0,667.0,10312.12,10,1,84,24.34,RENT,home_improvement,salaried,0
80312.05,49,500.0,5.4,514.0,21458.42,9,1,24,17.17,RENT,credit_card,self_employed,1
83344.09,27,500.0,6.3,782.0,18765.93,9,0,84,11.29,RENT,debt_consolidation,self_employed,0
92039.08,67,17068.0,5.1,602.0,664.68,11,0,24,26.87,RENT,credit_card,unemployed,0
79639.19,50,26844.78,6.2,555.0,19645.87,15,1,48,17.6,MORTGAGE,home_improvement,self_employed,0
63781.05,23,35097.33,6.4,621.0,8845.03,15,0,84,17.09,OWN,home_improvement,salaried,1
34892.22,44,18154.24,6.2,692.0,0.0,1,0,12,19.16,MORTGAGE,major_purchase,salaried,0
91672.62,36,29485.34,11.3,627.0,35126.55,0,0,12,7.85,OWN,debt_consolidation,salaried,0
41488.7,21,2562.66,4.8,619.0,19329.31,9,0,12,15.09,OWN,home_improvement,salaried,0
13863.23,59,500.0,5.7,713.0,11436.53,19,2,12,20.96,MORTGAGE,debt_consolidation,salaried,0
56959.47,39,18144.75,2.4,697.0,0.0,15,1,12,13.5,MORTGAGE,debt_consolidation,salaried,0
12000.0,33,30499.84,16.2,812.0,15296.96,11,0,84,18.76,MORTGAGE,home_improvement,retired,1
85441.26,61,13483.7,10.8,676.0,0.0,8,2,36,13.76,MORTGAGE,small_business,self_employed,0
24601.66,30,500.0,4.3,634.0,27411.84,10,0,84,13.01,OWN,home_improvement,salaried,0
60420.03,55,9460.59,17.6,682.0,16890.71,7,2,36,6.8,RENT,credit_card,retired,0
47483.0,55,500.0,6.5,630.0,0.0,5,1,84,17.17,OWN,debt_consolidation,salaried,0
73428.74,34,39447.78,2.9,675.0,67.89,6,0,24,21.26,RENT,debt_consolidation,salaried,0
122491.28,62,23926.01,5.0,771.0,22591.82,19,1,84,12.99,RENT,major_purchase,salaried,0
39925.46,42,39830.54,4.4,690.0,25464.18,3,0,12,24.91,RENT,medical,self_employed,1
68367.04,54,6646.31,5.8,609.0,9478.21,14,0,24,20.23,RENT,debt_consolidation,salaried,0
38735.03,23,14804.82,13.7,768.0,1753.4,10,1,48,14.33,OWN,debt_consolidation,retired,0
51584.29,44,500.0,0.3,632.0,41103.45,8,0,36,14.92,OWN,other,salaried,0
93105.4,57,7518.52,5.4,671.0,14820.56,2,1,24,15.96,OWN,small_business,self_employed,0
95093.35,59,38805.08,4.8,588.0,16317.22,7,0,24,14.18,RENT,credit_card,salaried,1
93920.11,34,22230.39,1.6,723.0,15419.1,4,1,84,12.54,OTHER,credit_card,retired,0
85735.72,39,9780.33,1.5,693.0,28292.49,17,0,12,15.64,OWN,major_purchase,retired,0
64100.55,55,4997.03,3.8,719.0,22804.34,5,0,84,21.23,OWN,home_improvement,salaried,0
91931.49,55,32841.2,4.0,751.0,22735.24,13,0,48,11.62,OWN,debt_consolidation,salaried,0
82876.38,51,32253.96,5.4,593.0,13080.66,0,0,48,14.39,RENT,home_improvement,self_employed,1
107677.65,32,14708.86,4.2,617.0,20442.54,8,0,60,21.95,OWN,major_purchase,salaried,0
100712.22,41,34996.15,4.7,751.0,14528.56,5,0,48,9.21,RENT,credit_card,salaried,0
122355.02,58,15739.75,8.8,615.0,14262.95,14,0,84,24.67,RENT,debt_consolidation,salaried,0
95427.25,62,7326.84,2.4,597.0,14535.95,12,0,12,23.08,OWN,medical,self_employed,0
107655.9,25,17575.86,4.3,658.0,8093.23,0,0,84,18.24,MORTGAGE,other,salaried,0
92982.14,34,10345.08,3.5,696.0,8211.46,8,1,24,18.1,MORTGAGE,home_improvement,self_employed,0
140117.78,30,18668.06,2.5,675.0,891.55,18,1,24,23.1,RENT,small_business,salaried,0
106290.33,43,20556.16,5.9,632.0,27481.48,10,0,36,24.39,MORTGAGE,medical,salaried,0
79126.09,32,16827.26,3.3,680.0,22683.25,0,0,48,19.75,OWN,debt_consolidation,salaried,0
114313.35,60,11981.51,6.5,726.0,8015.88,0,0,60,19.43,RENT,debt_consolidation,salaried,0
31969.81,31,500.0,7.6,619.0,19685.04,16,0,24,13.91,MORTGAGE,debt_consolidation,salaried,0
54051.79,46,18529.92,14.1,664.0,39129.02,3,1,48,17.73,MORTGAGE,credit_card,salaried,0
41430.7,62,24906.81,0.7,719.0,39.87,7,0,48,15.92,RENT,home_improvement,salaried,0
51030.7,46,10559.11,3.0,705.0,27386.51,4,0,48,13.95,OWN,credit_card,salaried,0
58357.69,25,28353.45,6.8,708.0,35778.34,4,0,12,22.97,MORTGAGE,credit_card,salaried,0
40279.31,31,48331.78,8.1,537.0,13429.24,7,3,48,23.49,RENT,debt_consolidation,salaried,1
,40,500.0,12.8,767.0,14196.9,6,0,60,20.82,MORTGAGE,debt_consolidation,retired,0
86818.69,32,41749.26,7.2,794.0,19255.89,1,1,12,11.96,MORTGAGE,major_purchase,salaried,0
89180.53,33,500.0,4.6,649.0,17346.69,11,0,84,15.04,RENT,small_business,salaried,0
58646.55,58,500.0,13.5,657.0,0.0,19,0,36,22.13,RENT,debt_consolidation,salaried,0
50773.74,58,10487.78,1.8,805.0,2396.29,1,0,36,20.89,RENT,major_purchase,self_employed,0
97372.93,47,35756.85,3.5,737.0,0.0,17,1,24,17.51,MORTGAGE,credit_card,salaried,0
90638.53,26,41491.97,8.1,584.0,30120.39,1,1,36,23.0,MORTGAGE,small_business,salaried,1
21098.16,26,11558.5,1.9,698.0,14741.92,8,0,84,29.63,MORTGAGE,debt_consolidation,salaried,0
86367.61,38,6456.19,4.9,813.0,20042.32,5,0,36,12.37,MORTGAGE,credit_card,salaried,0
56708.07,58,34607.74,9.8,784.0,15635.68,4,1,12,9.33,MORTGAGE,medical,salaried,0
12000.0,34,10298.9,6.2,657.0,25868.41,2,0,60,24.55,MORTGAGE,credit_card,self_employed,1
93549.63,49,5294.3,6.1,781.0,8867.38,15,1,36,18.03,OWN,debt_consolidation,salaried,0
89011.64,58,17535.68,11.3,606.0,18828.24,17,0,36,16.45,MORTGAGE,debt_consolidation,salaried,0
24741.77,59,27329.16,7.9,725.0,13209.64,10,1,60,7.42,OTHER,credit_card,salaried,0
42350.9,33,26619.44,2.4,643.0,0.0,4,0,60,17.86,OWN,debt_consolidation,salaried,0
35820.8,38,59080.07,3.1,684.0,19604.87,5,2,48,18.94,RENT,home_improvement,salaried,1
82627.28,30,23073.37,9.9,724.0,4690.87,10,0,60,14.36,MORTGAGE,medical,salaried,1
97894.83,67,15750.27,4.9,587.0,8150.6,6,0,36,18.56,OTHER,small_business,self_employed,0
74999.71,43,36899.86,5.9,657.0,13971.7,9,0,60,12.55,RENT,debt_consolidation,self_employed,0
31933.56,44,22831.4,6.0,662.0,21099.59,1,1,12,19.07,OWN,car,salaried,0
73483.56,49,2446.3,1.8,701.0,8675.64,2,0,84,19.21,RENT,credit_card,salaried,0
57724.68,66,12462.19,3.6,678.0,21567.89,1,0,84,16.89,OWN,debt_consolidation,salaried,0
81842.3,41,6429.85,4.1,734.0,37136.35,6,0,24,17.54,MORTGAGE,debt_consolidation,salaried,0
68200.87,48,16149.01,2.3,676.0,32775.7,14,2,24,10.97,OWN,debt_consolidation,self_employed,1
12000.0,41,6562.24,3.0,608.0,35461.06,18,1,48,14.02,OWN,car,salaried,1
42578.49,51,21750.3,8.4,701.0,9922.2,4,1,60,11.77,OWN,debt_consolidation,salaried,0
70541.16,45,14900.71,3.2,515.0,22273.3,16,0,84,22.1,MORTGAGE,debt_consolidation,salaried,1
122400.19,42,500.0,9.6,756.0,18245.12,2,0,36,11.02,OWN,major_purchase,unemployed,0
119009.8,42,17379.39,23.1,717.0,19667.55,7,0,24,12.35,RENT,home_improvement,salaried,0
64909.58,59,30815.06,0.5,648.0,20955.01,2,1,12,21.12,MORTGAGE,debt_consolidation,salaried,0
98375.96,37,22823.75,3.0,654.0,11134.38,17,0,60,5.81,MORTGAGE,car,salaried,0
